EID,name,venue,date,start_time,end_time,category,cost,link,additional_info
1,Watsky/Wax Hug A Hater Tour,Cat's Cradle,10/17/2013,19:00:00,21:00:00,Concert,15,http://www.catscradle.com/event/317741-watsky-wax-hug-hater-tour-carrboro/,
2,Finch,Cat's Cradle,10/17/2013,19:00:00,21:00:00,Concert,20,http://www.catscradle.com/event/324821-finch-carrboro/,Playing What It Is To Burn in its entirety
3,SOJA,Cat's Cradle,10/17/2013,19:00:00,21:00:00,Concert,20,http://www.catscradle.com/event/349329-soja-carrboro/,
4,Of Montreal,Cat's Cradle,10/17/2013,19:00:00,21:00:00,Concert,17,http://www.catscradle.com/event/339293-montreal-carrboro/,
5,"Father John Misty ""Solo""",Cat's Cradle,10/17/2013,19:00:00,21:00:00,Concert,20,http://www.catscradle.com/event/296103-father-john-misty-solo-carrboro/,
6,Southern Tier Beer Dinner,G2B Gastropub,10/17/2013,19:00:00,21:00:00,Food/Drink,75,http://g2b-restaurant.com/events.aspx,Serving 8 beers
7,A Taste of Argentina Wine Experience Dinner,Washington Duke Inn & Golf Club,10/17/2013,19:00:00,21:00:00,Food/Drink,69,https://www.eventville.com/catalog/eventregistration1.asp?eventid=1010622,
8,Durham Sports Club Meeting,Croasdaile Country Club,10/17/2013,19:00:00,21:00:00,Other,20,,lunch included
9,DAY JOB + KOOL AD,Duke Coffee House,10/17/2013,19:00:00,21:00:00,Concert,0,https://www.facebook.com/events/248909488590744,
10,Mountain Oasis,Asheville,10/17/2013,19:00:00,21:00:00,Concert,100,http://mountainoasisfestival.com/,